CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,PAC,PS,MORENA,PANALT,PEST,PISSI,PES,RSP,FXM,PAN_PRI_PRD_PAC_PS,PAN_PRI_PRD_PAC,PAN_PRI_PRD_PS,PAN_PRI_PAC_PS,PAN_PRD_PAC_PS,PRI_PRD_PAC_PS,PAN_PRI_PRD,PAN_PRI_PAC,PAN_PRI_PS,PAN_PRD_PAC,PAN_PAC_PS,PAN_PRD_PS,PRI_PRD_PAC,PRI_PRD_PS,PRI_PAC_PS,PRD_PAC_PS,PAN_PRI,PAN_PRD,PAN_PAC,PAN_PS,PRI_PRD,PRI_PAC,PRI_PS,PRD_PAC,PRD_PS,PAC_PS,PT_PVEM_MORENA_PANALT_PEST,PT_PVEM_MORENA_PANALT,PT_PVEM_MORENA_PEST,PT_PVEM_PANALT_PEST,PT_MORENA_PANALT_PEST,PVEM_MORENA_PANALT_PEST,PT_PVEM_MORENA,PT_PVEM_PANALT,PT_PVEM_PEST,PT_MORENA_PANALT,PT_PANALT_PEST,PT_MORENA_PEST,PVEM_MORENA_PANALT,PVEM_MORENA_PEST,PVEM_PANALT_PEST,MORENA_PANALT_PEST,PT_PVEM,PT_MORENA,PT_PANALT,PT_PEST,PVEM_MORENA,PVEM_PANALT,PVEM_PEST,MORENA_PANALT,MORENA_PEST,PANALT_PEST,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,29,TLAXCALA,8,SAN BERNARDINO CONTLA,1,AMAXAC DE GUERRERO,1,2,50,160,18,38,9,20,27,16,363,13,14,5,17,65,18,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,840,1,12,853,1192
,29,TLAXCALA,8,SAN BERNARDINO CONTLA,1,AMAXAC DE GUERRERO,2,5,126,503,45,73,9,48,41,23,744,12,20,3,22,111,38,7,1,1,0,0,0,4,1,0,0,0,0,0,0,0,0,3,1,2,0,0,0,1,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,1852,0,32,1884,3522
,29,TLAXCALA,8,SAN BERNARDINO CONTLA,1,AMAXAC DE GUERRERO,3,5,143,408,59,89,13,55,46,33,799,12,19,3,24,205,68,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,12,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2018,7,33,2058,3029
,29,TLAXCALA,8,SAN BERNARDINO CONTLA,1,AMAXAC DE GUERRERO,4,1,44,148,11,11,6,12,22,7,221,5,6,1,5,22,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,0,0,550,701
,29,TLAXCALA,8,SAN BERNARDINO CONTLA,2,APETATITLAN DE ANTONIO CARVAJAL,5,4,370,267,13,66,19,80,22,45,812,30,3,3,21,54,85,12,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1919,0,27,1946,2634
,29,TLAXCALA,8,SAN BERNARDINO CONTLA,2,APETATITLAN DE ANTONIO CARVAJAL,6,2,122,203,3,14,6,15,13,19,237,2,3,2,5,34,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697,0,10,707,864
,29,TLAXCALA,8,SAN BERNARDINO CONTLA,2,APETATITLAN DE ANTONIO CARVAJAL,7,1,51,45,3,5,2,5,8,4,80,0,0,2,3,10,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,2,230,295
,29,TLAXCALA,8,SAN BERNARDINO CONTLA,2,APETATITLAN DE ANTONIO CARVAJAL,8,3,261,256,8,46,12,36,24,18,618,14,10,7,11,64,41,8,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1450,1,20,1471,2225
,29,TLAXCALA,8,SAN BERNARDINO CONTLA,2,APETATITLAN DE ANTONIO CARVAJAL,9,4,308,206,15,44,14,142,23,15,769,12,7,10,7,110,245,6,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1948,0,19,1967,2541
,29,TLAXCALA,8,SAN BERNARDINO CONTLA,2,APETATITLAN DE ANTONIO CARVAJAL,10,4,334,245,12,69,19,39,20,67,861,32,4,25,14,113,57,14,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1944,0,29,1973,2722
,29,TLAXCALA,8,SAN BERNARDINO CONTLA,2,APETATITLAN DE ANTONIO CARVAJAL,11,2,122,138,1,9,2,10,8,9,285,13,0,6,5,50,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,1,4,685,923
,29,TLAXCALA,4,APIZACO,3,APIZACO,12,2,110,127,14,35,7,14,21,4,221,2,8,1,11,70,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,662,0,14,676,1194
,29,TLAXCALA,4,APIZACO,3,APIZACO,13,4,269,179,61,47,30,23,33,20,455,21,13,11,18,204,62,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1457,0,36,1493,2269
,29,TLAXCALA,4,APIZACO,3,APIZACO,14,7,482,410,93,86,38,28,76,29,963,40,69,11,33,366,72,5,1,1,2,0,0,11,1,0,0,0,0,0,0,0,0,4,2,3,0,0,1,0,0,0,0,2,2,1,0,0,0,0,1,1,0,1,0,0,2,0,1,0,4,0,0,1,1,2,4,0,0,2850,0,45,2895,4765
,29,TLAXCALA,4,APIZACO,3,APIZACO,15,3,137,122,43,45,8,20,15,18,383,11,11,4,13,89,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,956,0,18,974,1624
,29,TLAXCALA,4,APIZACO,3,APIZACO,16,3,275,122,32,28,15,14,13,4,411,11,12,3,11,123,18,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1113,1,25,1139,1728
,29,TLAXCALA,4,APIZACO,3,APIZACO,17,2,178,183,17,28,10,21,15,6,274,5,2,4,5,46,11,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,838,0,16,854,1344
,29,TLAXCALA,4,APIZACO,3,APIZACO,18,2,167,159,38,18,7,16,11,1,223,5,0,1,6,37,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,0,13,728,1119
,29,TLAXCALA,4,APIZACO,3,APIZACO,19,2,169,95,26,24,8,10,9,4,239,6,9,4,14,72,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718,0,13,731,1153
,29,TLAXCALA,4,APIZACO,3,APIZACO,20,2,103,53,17,18,4,8,8,2,173,1,14,1,8,66,15,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,0,19,514,884
,29,TLAXCALA,4,APIZACO,3,APIZACO,21,1,53,57,10,7,4,4,3,2,103,0,1,2,1,23,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,2,4,286,437
